Aquatic Life,Avg Viz,Bottom Comp,Contact,Entry Type,Fall,Location,Max Depth,Rating,Spring,Summer,Winter
Big Animals,65.5,Sand,,Boat,," Agnes Water/1770, Queensland, Australia",55.5,3.00 by 1,,,
,,,,,78," Nardò, Italy",,,63,78,58
Might See Something,23,Clay/Muck,4.21905E+11,Shore,58, Czech Republic,28,3.00 by 1,52.5,68,50
Might See Something,28,Rock,4.21905E+11,Shore,52.5, Czech Republic,115.5,2.00 by 1,58,63,50
Plenty To See,28,Sand,,Boat,83," Dubai, United Arab Emirates",75.5,3.50 by 2,78,85,68
Plenty To See,28,Sand,,Boat,83," Dubai, Dubai, United Arab Emirates",105.5,3.50 by 2,78,85,68
Might See Something,38,Sand,,Boat,68," Zouk, Jounieh, Lebanon",125.5,4.00 by 2,68,78,58
Might See Something,28,Rock,,Shore,73," AUB Corniche, Beirut, Lebanon",150,4.00 by 1,73,83,58
Plenty To See,55.5,Rock,,Boat,78," Mussandam, Oman",150,4.33 by 3,73,85,68
Might See Something,23,Sand,,Shore,50," Ann Coleman Dr., Juneau, AK",75.5,3.50 by 4,50,50,50
Plenty To See,13,Sand,,Shore,," Aransas Pass, TX",28,2.00 by 1,,83,63
Plenty To See,,Clay/Muck,8003643833,Shore,," Bandera, TX",,3.00 by 3,,,
Plenty To See,7.5,Rock,,Shore,," 3630 Park Road 4 West, Burnet, TX 78611",55.5,1.00 by 1,,,
Plenty To See,45.5,Rock,,Shore,," Uvalde, TX",18,,,83,
Might See Something,13,Sand,,Boat,," Brielle, NJ",75.5,3.33 by 3,,,
Plenty To See,38,Coral,,Boat,73," Dead Chest, Virgin Islands (British)",38,5.00 by 2,78,78,73
,105.5,Sand,,Boat,85," Apra Harbor, Guam",85.5,3.60 by 5,83,85,83
Plenty To See,95.5,Sand,,Boat,," Rainbow Beach, Queensland, Australia",105.5,,,73,68
Big Animals,33,Sand,,Boat,," Malaysia, Malaysia",115.5,4.00 by 1,,,
Plenty To See,23,Sand,,Boat,63," Portmagee, Co.kerry, Ireland",150,3.00 by 2,50,58,50
Plenty To See,28,Sand,,Boat,," Graves Island, Manchester, MA",38,3.50 by 2,50,,50
,23,,,,68,,150,,68,68,52.5
Big Animals,33,Sand,,Boat,73,,95.5,,73,78,73
Plenty To See,18,Sand,8668421980,Boat,52.5," 47.5945°N 122.4801°W, Seattle, WA 98353",105.5,4.00 by 2,52.5,58,52.5
Might See Something,5,Clay/Muck,,Shore,50," Lucerne, WA",150,3.00 by 1,50,50,50
Might See Something,7.5,Clay/Muck,5204555847,Shore,," 25 miles SE of Sonoita, AZ",85.5,2.00 by 2,,68,
Plenty To See,23,Sand,3.06944E+11,Boat,," Mandilara 67, KOS, Greece 85300, Greece",18,,,,83
Might See Something,23,Clay/Muck,,Shore,58," Cooperstown, NY",150,3.00 by 1,58,68,50
Plenty To See,28,Sand,,Shore,," Culebra, PR, Puerto Rico",55.5,4.00 by 1,,83,
Plenty To See,65.5,Sand,,Boat,," Catalina Island, CA",65.5,4.33 by 6,,68,63
Plenty To See,75.5,Sand,,Boat,73, Mexico,45.5,4.00 by 1,78,83,78
Plenty To See,13,Sand,,Shore,," Waimanalo Beach, HI",55.5,3.00 by 3,,,78
Might See Something,,,,Boat,," Lunenburg, Nova Scotia, Canada",85.5,5.00 by 1,,,
Plenty To See,65.5,Sand,,Boat,63," Catalina Island, CA",55.5,5.00 by 1,,73,
Might See Something,18,Clay/Muck,9287583483,Boat,63," 1047 Highway 95, Suite 6, Bullhead City, AZ 86442",85.5,4.00 by 1,63,63,58
Might See Something,28,Sand,,Boat,63," Tacoma, WA",150,4.00 by 2,,,
Plenty To See,38,Sand,,Boat,58, WA,55.5,4.00 by 1,,,52.5
Might See Something,,Sand,,Boat,," Tacoma, WA",75.5,3.67 by 3,,,58
Might See Something,,Clay/Muck,,Shore,58," Coeur d’Alene, ID",95.5,3.00 by 1,58,73,50
Plenty To See,23,Sand,3015199283,Boat,63," Ocean City, MD",55.5,3.60 by 5,58,73,50
Plenty To See,23,Sand,3015199283,Boat,63," Ocean City, MD",65.5,4.00 by 1,52.5,73,50
Plenty To See,65.5,Sand,,Boat,63," Catalina Island, CA",38,4.00 by 2,,,
Plenty To See,,Rock,,Shore,73," Panama City Beach, FL",38,3.00 by 8,78,83,58
,13,Sand,,Boat,52.5," Ocean Beach, CA",85.5,,,52.5,52.5
Plenty To See,38,Sand,,Shore,," St Andrews State Park, Panama City Beach, FL",33,3.73 by 30,,,
,38,,,,83," Frederiksted, St. Croix 00840, Virgin Islands (U.S.)",28,4.38 by 8,78,83,78
Plenty To See,45.5,Sand,,Boat,," Moreton Island, Brisbane, Queensland, Australia",95.5,,,73,68
,,,,,, Poland,,,,,
Plenty To See,75.5,Sand,,Boat,, Honduras,95.5,4.75 by 4,,83,
,,Sand,,Shore,," Lima, Peru",,5.00 by 1,,,
Plenty To See,7.5,,,Boat,," Lago Agrio, Ecuador",38,5.00 by 1,,,
Plenty To See,95.5,Sand,,Boat,," Cozumel, Quintana Roo, Mexico",75.5,4.00 by 2,,83,
Might See Something,105.5,Rock,,Shore,," Puerto Aventuras, Quintana Roo, Mexico",33,4.25 by 8,,,
Big Animals,45.5,No Bottom,6444290,Boat,73," Yomitan Fishing Port, Yomitan, Okinawa, Japan",65.5,4.75 by 4,73,78,68
Big Animals,65.5,Sand,,Boat,73," Vila Franca do Campo, Portugal",65.5,5.00 by 1,68,73,63
Plenty To See,85.5,Sand,,Boat,," Koh Lipe, Thailand",115.5,5.00 by 1,,,
None,13,Clay/Muck,,Shore,68," Gull Pond Road, Wellfleet, MA",95.5,,50,73,50
Might See Something,13,Sand,,Shore,," Webster, MA 01570",18,3.50 by 2,52.5,68,50
Plenty To See,38,Sand,82647329092,Shore,68," jeju, Jeju 697-809, South Korea",115.5,,58,68,50
,,,,,, Barbados,,4.60 by 5,,,
Might See Something,,Sand,,Boat,, Bahamas,,5.00 by 2,,,
Plenty To See,150,Sand,,Boat,78," Cozumel, Quintana Roo, Mexico",65.5,4.53 by 43,,83,73
,,,,Shore,," Cozumel, Quintana Roo, Mexico",,4.00 by 3,,,
,,,,,," Cozumel, Quintana Roo, Mexico",,4.80 by 5,,,
,,,,Boat,," Cozumel, Quintana Roo, Mexico",,4.80 by 5,,,
,,,,,," Flat Rock Cay, Bahamas",,5.00 by 1,,,
Plenty To See,95.5,Sand,,Boat,," Exuma Keys, Bahamas",45.5,3.50 by 2,,,
,,,,,," Little San Salvador, Bahamas",,5.00 by 1,,,
Big Animals,75.5,Sand,,Boat,," Avarua, Rarotonga, Cook Islands",38,5.00 by 1,,,
Plenty To See,75.5,Sand,,Shore,," Bridgetown, Barbados",33,4.20 by 5,,,
,85.5,Sand,,Boat,," Bridgetown, Barbados",85.5,4.00 by 3,,,
Plenty To See,,Sand,,Boat,," Bridgetown, Barbados",85.5,3.50 by 2,,,
Might See Something,18,Clay/Muck,9318236616,Boat,, TN,125.5,3.67 by 3,,73,
Plenty To See,,,,Boat,," Ambergris Caye, Belize",75.5,5.00 by 2,,,
Might See Something,,,,Boat,," Ambergris Caye, Belize",,5.00 by 2,,,
Might See Something,,,,Boat,," Ambergris Caye, Belize",,5.00 by 2,,,
Might See Something,,Sand,,Boat,," Ambergris Caye, Belize",,4.00 by 1,,,
Might See Something,65.5,Sand,5012263082,Boat,83," San Pedro Town, Ambergris Caye, Belize",55.5,5.00 by 1,83,83,83
,,,,Boat,," Ambergris Caye, Belize",,5.00 by 1,,,
,28,,,Shore,," Carmel, CA 93923",85.5,3.00 by 2,,,
Plenty To See,7.5,Clay/Muck,7406534519,Shore,78," 2715 Sugar Grove Rd SE, Lancaster, OH 43130",55.5,3.82 by 11,73,83,
Plenty To See,55.5,Clay/Muck,,Shore,63," Mohave Recreation Area, Bullhead City, AZ 86442",125.5,3.33 by 6,63,63,63
Plenty To See,65.5,No Bottom,8244688531,Boat,83," Pangsama Beach, Cebu, Moalboal 6032, Philippines",125.5,4.67 by 6,83,85,83
Plenty To See,55.5,Rock,8244688531,Boat,83," Panagsama, Cebu, Moalboal 6032, Philippines",125.5,5.00 by 2,83,83,83
Plenty To See,55.5,No Bottom,8244688531,Boat,83," Panagsama, Cebu, Moalboal 6032, Philippines",125.5,4.50 by 2,83,83,83
Plenty To See,13,Clay/Muck,9035975338,Shore,68," 789 Park Road 16, Tyler, TX 75706",23,3.14 by 7,68,85,52.5
Might See Something,7.5,Clay/Muck,,,," Flowery Branch, GA 30092",,3.75 by 4,,,
Might See Something,7.5,Clay/Muck,7176372816,Shore,," 2600 Smith Station Road, Hanover, PA 17331-8000",38,3.00 by 3,,78,
Big Animals,28,Sand,,Boat,52.5," Redondo, CA",125.5,3.33 by 3,58,58,52.5
Big Animals,7.5,Sand,,Boat,52.5," Santa Monica, CA",75.5,4.25 by 4,58,58,52.5
Might See Something,7.5,Sand,,Boat,52.5," 31550 Palos Verdes Drive West, Rancho Palos Verdes, CA",28,3.00 by 1,58,58,52.5
Plenty To See,23,Sand,,Boat,," Little River, SC",55.5,3.33 by 6,73,78,
Plenty To See,7.5,Rock,,Boat,63," Kimberling City, MO",150,3.00 by 1,50,63,50
Plenty To See,38,Sand,8.4051E+12,Boat,," Cham Island, Hoi An, Viet Nam",38,,,83,
Plenty To See,23,Sand,8.4051E+12,Boat,," Cham Island, Hoi An, Viet Nam",75.5,4.00 by 1,,78,
,,,,,," Bay Village, OH",45.5,,,,
,,,,,, IN,,,,,
Plenty To See,23,Sand,4102249750,Boat,," Ocean City, MD",38,4.00 by 3,,68,
,5,Sand,,Shore,," Bodega Bay, CA",18,5.00 by 1,,,
None,5,Sand,,Shore,," Bodega Bay, CA",13,5.00 by 1,,,
Might See Something,13,Sand,,Boat,," Pt Arena, CA",55.5,5.00 by 1,,,
Might See Something,13,Sand,,Boat,," Pt Arena, CA",18,5.00 by 1,,,
Plenty To See,13,Rock,7078473422,,52.5," 23125 California 1, jenner, CA",,1.00 by 1,52.5,52.5,52.5
Big Animals,,,,Boat,," Harbour Island, Bahamas",150,4.00 by 2,,,
Might See Something,,Clay/Muck,,Boat,," Gilbertsville, KY",,3.00 by 1,,,
Might See Something,65.5,,,,, Jamaica,,4.00 by 1,,,
Plenty To See,18,Rock,,,58," Dutch John, UT 84023",,,58,58,58
Plenty To See,150,Sand,,Boat,78," Recife, Pernambuco, Brazil",150,5.00 by 1,78,83,78
Plenty To See,38,Sand,,Boat,73," Guarapari, Espirito Santo, Brazil",95.5,,73,78,73
Plenty To See,85.5,Sand,,Boat,73," Kota Bahru, Malaysia",75.5,4.00 by 2,73,78,78
Plenty To See,,Sand,,Shore,83," Roatan, Honduras",,4.50 by 8,,,
Plenty To See,95.5,Sand,9837005824,Boat,," 2.5 Kilometre Marker, Mahahual, Quintana Roo, Mexico",150,4.50 by 4,,,83
Plenty To See,28,Sand,,Boat,73," Cabo San Lucas, Mexico",65.5,3.67 by 6,,,
Plenty To See,18,Rock,,Shore,," East Lee, MA",55.5,5.00 by 1,52.5,58,50
Plenty To See,13,Sand,,Boat,, ME,28,4.00 by 1,,,
Might See Something,,Clay/Muck,,Shore,," Salem, SC",,3.67 by 3,,,
Big Animals,95.5,Sand,,Shore,78," Oahu, HI",,5.00 by 1,78,83,73
Plenty To See,18,Sand,,Shore,," Rancho Palos Verdes, CA",33,3.33 by 3,,,
Might See Something,13,Sand,,Shore,," Redondo Beach, CA",45.5,3.50 by 2,,,
Might See Something,145.5,Sand,,Boat,, Bahamas,45.5,5.00 by 1,,,
Big Animals,150,Sand,,Boat,83, Bahamas,65.5,5.00 by 1,78,83,78
Big Animals,150,Sand,,Boat,83, Bahamas,45.5,4.50 by 2,78,83,78
,150,Sand,,Boat,83, Bahamas,45.5,5.00 by 1,78,83,78
Might See Something,55.5,Sand,,Boat,83, Bahamas,55.5,5.00 by 1,78,83,78
Big Animals,145.5,Sand,,Boat,83, Bahamas,75.5,5.00 by 1,78,83,78
Big Animals,145.5,Sand,,Boat,83, Bahamas,55.5,5.00 by 4,78,83,78
Might See Something,145.5,Sand,,Boat,83, Bahamas,45.5,5.00 by 1,78,83,78
Plenty To See,45.5,Sand,,Boat,," Two Harbors, CA",75.5,,,63,58
Plenty To See,38,Sand,,Boat,," Two Harbors, CA",115.5,4.00 by 4,,,
Plenty To See,,Sand,,Boat,," 36 nautical miles, bearing 120°, Freeport, TX",95.5,4.00 by 1,,,
Plenty To See,85.5,Coral,,Boat,," Cozumel, Quintana Roo, Mexico",150,4.44 by 34,,78,
Might See Something,145.5,Sand,,Boat,83, Bahamas,105.5,5.00 by 1,78,83,78
Big Animals,145.5,Sand,,Boat,83, Bahamas,38,4.67 by 3,78,83,78
Big Animals,145.5,Sand,,Boat,83, Bahamas,45.5,5.00 by 1,78,83,78
Big Animals,95.5,Sand,,Boat,83," Bimini, Bahamas",18,3.91 by 11,78,83,78
Might See Something,145.5,Sand,,Boat,83, Bahamas,65.5,5.00 by 1,78,83,78
Might See Something,145.5,Sand,,Boat,83," Grand Bahama, Bahamas",75.5,4.33 by 3,78,83,78
Might See Something,145.5,Sand,,Boat,83, Bahamas,55.5,5.00 by 1,78,83,78
Plenty To See,,,,Boat,," Rancho Palos Verdes, CA",33,3.00 by 1,,,
Might See Something,7.5,Clay/Muck,,Boat,," Fenton, MI",85.5,3.50 by 4,,,
Big Animals,45.5,Sand,,Boat,73," Offshore Lagos, Lagos, Nigeria",150,,73,78,73
Big Animals,55.5,Clay/Muck,,Boat,73," Offshore Port Harcourt, Port Harcourt, Nigeria",150,,73,78,73
Big Animals,45.5,Sand,,Boat,73," Offshore Malabo, Malabo, Equatorial Guinea",150,,73,78,73
Big Animals,38,Sand,,Boat,68," Port Gentil, Gabon",150,,68,73,68
Might See Something,7.5,Rock,,,68," New Paltz, NY 12561",,4.33 by 3,52.5,63,
Plenty To See,18,Sand,,Shore,," Seattle N of Octopus Hole, WA",,4.00 by 2,,,
Plenty To See,,Sand,,Boat,," Catalina Island, CA",75.5,4.00 by 4,,,
,,,,,," Catalina Island, CA",,3.60 by 5,,,
,,,,,," Catalina Island, CA",,5.00 by 1,,,
Might See Something,,Sand,,Boat,," sestri levante, Italy",95.5,,,,
Plenty To See,55.5,Sand,,Boat,50," outer limits of the Hauraki gulf, Auckland, New Zealand",150,,78,78,73
Plenty To See,33,Sand,,Boat,58," Cook Straight, Marlbough Sounds, New Zealand",150,,58,63,58
Plenty To See,65.5,Rock,,Boat,63," Wellington Coast, Wellington, Nth Island, New Zealand",125.5,,58,63,58
Plenty To See,65.5,Sand,,Boat,68," top end NTH Island, Whangarei, North Auckland, New Zealand",150,,73,73,68
Plenty To See,23,Sand,3864241644,Boat,78," 111 Flagler Avenue, New Smyrna Beach, FL 32169",85.5,4.00 by 1,68,83,63
Plenty To See,23,Sand,3864241644,Boat,78," 111 Flagler Avenue, New Smyrna Beach, FL 32169",85.5,3.50 by 2,73,83,68
Might See Something,13,Clay/Muck,,Shore,," Wausaukee, WI 54177",55.5,3.00 by 2,,,
Might See Something,55.5,Rock,,Shore,," Crystal Falls, MI",150,4.20 by 5,,,
Plenty To See,105.5,Sand,,Shore,," West End, Grand Cayman, Cayman Islands",125.5,4.67 by 3,78,83,
Big Animals,28,Sand,,Boat,, Costa Rica,150,,,78,
Might See Something,28,Sand,,Boat,," Munising, MI",55.5,3.00 by 3,,,
Might See Something,28,Sand,,Boat,," Munising, MI",23,4.40 by 5,,,
Plenty To See,75.5,Sand,,Boat,," Honolulu, HI",38,3.89 by 9,,,
Plenty To See,55.5,Sand,,Shore,," Cadaqués, 17488, Spain",105.5,,,,
Plenty To See,55.5,Sand,,Boat,," Cadaqués, 17488, Spain",95.5,,,,
Might See Something,,Sand,,Shore,," Cadaqués, 17488, Spain",105.5,,,,
Plenty To See,55.5,Sand,,Boat,," Cadaqués, 17488, Spain",95.5,4.00 by 1,,,
Plenty To See,45.5,Sand,,Boat,63," Coastal Coromandal, New Zealand",150,,63,68,63
Might See Something,13,Sand,,Boat,," Vermilion, OH 44089",55.5,,,,
Might See Something,38,Clay/Muck,,,63," Washington Harbor, Washington Island, WI",23,,50,68,50
,,,,,, Virgin Islands (British),,3.00 by 1,,,
Might See Something,,,,,," Grand Bahama, Bahamas",,3.50 by 4,,78,
Might See Something,5,Clay/Muck,,Shore,58," 3000 forest road, cooksburg, PA 16217",18,4.00 by 1,63,73,50
Plenty To See,45.5,Sand,,Boat,," Grand Anse Beach, Grenada",55.5,3.00 by 1,,83,78
Plenty To See,38,Sand,,Boat,," Clifton, Union Island, Saint Vincent And The Grenadines",55.5,3.00 by 1,,83,
Plenty To See,33,Sand,,Boat,83," Clifton, Union Island, Saint Vincent And The Grenadines",75.5,,,,
None,7.5,Clay/Muck,,Shore,58, Belgium,135.5,,63,73,52.5
Plenty To See,150,Sand,,Boat,85," Jeddah, KSA, Saudi Arabia",150,4.00 by 1,85,85,85
Plenty To See,45.5,Sand,,Boat,85," Wrightsville, NC",105.5,4.50 by 6,63,83,52.5
Might See Something,7.5,Clay/Muck,9056597300,Shore,68," 792 Safari Road, Millgrove, Ontario L0R 1V0, Canada",23,2.00 by 3,68,78,50
Might See Something,13,Sand,,Boat,50," Point Traverse, Ontario, Canada",85.5,4.00 by 1,50,50,50
Might See Something,23,Sand,,Boat,52.5," Point Traverse, Ontario, Canada",95.5,3.00 by 1,50,52.5,50
Plenty To See,95.5,Sand,,Boat,, Dominica,150,4.50 by 2,78,,
Plenty To See,75.5,Sand,,Shore,, Saint Lucia,65.5,4.33 by 3,78,,
Big Animals,,Sand,,Boat,," Sint Maarten, Sint Maarten",55.5,3.00 by 1,78,,
Plenty To See,,Rock,,Boat,," Sint Maarten, Sint Maarten",65.5,3.00 by 1,83,,
Plenty To See,85.5,Sand,,Boat,73," Oahu,, HI",65.5,4.00 by 7,73,78,73
,,,,,, Mexico,,,,,
,,,,,, Mexico,,,,,
,,,,,, Mexico,,4.50 by 2,,,
,,,,,, Mexico,,3.00 by 1,,,
,,,,,, Mexico,,,,,
,,,,,, Mexico,,3.00 by 1,,,
,,,,,, Mexico,,5.00 by 2,,,
,,,,,, Mexico,,,,,
Might See Something,23,Sand,,Shore,52.5," 43.885042, -78.674099, Bowmanville, ON, Canada",13,3.50 by 2,50,58,50
Plenty To See,75.5,Sand,,Shore,73, Cuba,150,5.00 by 2,73,73,73
,33,Sand,,Boat,50," 43.54.987N 78.17.940W, Port Hope, Ontario, Canada",75.5,5.00 by 1,50,63,50
,18,Sand,,Shore,58," Marmora, Otario, Canada",28,5.00 by 1,58,68,50
Plenty To See,95.5,Sand,9831100159,Boat,," Mahahal-Costa Maya, Quintana Roo, Mexico",145.5,4.33 by 3,,,83
Might See Something,55.5,Sand,,Shore,68," Hwy 89, South Lake Tahoe, CA",150,3.50 by 4,63,68,50
,13,Sand,,Shore,63," Hwy 89, South Lake Tahoe, CA",85.5,3.00 by 1,58,68,52.5
Plenty To See,13,Sand,,Shore,52.5," Navarro, CA",23,3.00 by 1,52.5,50,52.5
,13,,7078473286,,52.5," 19005 Coast Highway One, Jenner, CA 95450",33,4.00 by 1,52.5,50,52.5
Might See Something,18,Sand,,Shore,52.5," Hwy 88, Kirkwood, CA 94646",33,4.00 by 1,52.5,58,50
,18,Clay/Muck,,Shore,63," 4771 Sly Park Rd, Pollock Pines, CA 95726",145.5,4.00 by 1,52.5,68,52.5
Plenty To See,13,Sand,7079375804,Shore,52.5," Hwy 1, Casper, CA 95420",,3.50 by 2,52.5,52.5,52.5
Big Animals,23,,,,, French Polynesia,55.5,4.40 by 5,,,
,28,,,,, French Polynesia,65.5,4.25 by 4,,,
Might See Something,85.5,Sand,8504822114,Shore,73," 5461 Blue Springs Highway, Marianna, FL 32447",85.5,4.25 by 12,73,73,73
,45.5,Rock,,Boat,58," Bcs, Mexico",125.5,,52.5,58,50
Might See Something,7.5,Sand,,Shore,," Channel Road / East Oceanfront, Newport Beach, CA 90802",28,,,,
,,,,Boat,, Tonga,,4.00 by 2,,,
,,,,,, Papua New Guinea,,4.00 by 2,,,
,,,,,, Cayman Islands,,3.50 by 2,,,
Plenty To See,,Coral,,Boat,," Queensland, Australia",,4.11 by 9,,,
Might See Something,,,,,, Palau,,4.67 by 3,,,
Might See Something,,,,,, Maldives,,4.17 by 6,,,
Plenty To See,23,Sand,,Boat,," Portsea, Victoria, Australia",95.5,4.00 by 3,63,68,58
Might See Something,23,Rock,,Boat,," Puerta Vallarta, Mexico",55.5,3.00 by 1,,,
Might See Something,28,Rock,,Boat,, Mexico,55.5,2.50 by 2,,,
Big Animals,95.5,Sand,,Shore,78," Marsa Alam, Egypt",55.5,4.17 by 6,73,78,73
Plenty To See,95.5,Sand,,Boat,," Bayahibe, Dominican Republic",125.5,4.17 by 6,,,73
Plenty To See,55.5,Sand,,Boat,," Bayahibe, Dominican Republic",55.5,4.00 by 4,,,73
Plenty To See,95.5,Sand,,Boat,," Bayahibe, Dominican Republic",55.5,4.20 by 5,,,73
,,,,,," Al Quseir, Egypt",,4.00 by 1,,,
Plenty To See,,Sand,,Boat,, Egypt,145.5,3.00 by 1,,,
Plenty To See,38,Sand,,Boat,," Little St James Island, Virgin Islands (U.S.)",45.5,4.00 by 3,,,83
Plenty To See,28,Sand,1.15063E+12,Boat,," 100 meters west of main drag, Playa Hermosa, Guanacaste, Costa Rica",45.5,3.33 by 3,,,78
Plenty To See,23,Sand,1.15063E+12,Boat,," Playa Hermosa, Guanacaste, Costa Rica",45.5,4.00 by 2,,,78
Plenty To See,45.5,Sand,,Boat,83," Malay, Aklan, Philippines",150,3.67 by 3,83,83,83
Plenty To See,95.5,Sand,,Boat,," Aqaba, Jordan",145.5,4.50 by 4,,,
Plenty To See,,,,,, United Kingdom,95.5,4.00 by 3,,,
Plenty To See,,,,Boat,,,,4.00 by 1,,,
Plenty To See,7.5,Sand,,Shore,58," SR 116 @ New River bridge, Christiansburg, VA",45.5,3.75 by 4,63,78,50
Plenty To See,95.5,Sand,,Boat,, Jamaica,95.5,5.00 by 2,,78,
Plenty To See,95.5,Sand,,Boat,," Negril, Jamaica",65.5,4.50 by 4,,83,
Plenty To See,95.5,Sand,,Boat,," Negril, Jamaica",65.5,4.50 by 4,,83,
Plenty To See,105.5,Sand,,Shore,," Moreton Island, Brisbane, Queensland, Australia",33,4.00 by 2,,78,68
Plenty To See,65.5,Sand,63535730131,Shore,," Lungsodaan, Padre Burgos, Southern Leyte 6602, Philippines",135.5,,83,83,83
Plenty To See,55.5,Sand,,Shore,78," Honolulu, HI 96813",33,3.25 by 8,78,78,73
None,,Clay/Muck,,Shore,," Solomons, MD",18,3.00 by 2,,73,
Plenty To See,18,Sand,,Shore,," Arlington, VA 22206",7.5,3.50 by 2,,78,
Plenty To See,,Sand,,Shore,," Bonaire, Bonaire",,3.50 by 2,,,
Might See Something,45.5,Sand,,Boat,," Charlotte Amalie, St. Thomas, Virgin Islands (U.S.)",,4.33 by 3,,,
Plenty To See,38,Sand,8433613323,Boat,78," 1903 Hwy 17 S, North Myrtle Beach, SC 29582",65.5,3.57 by 7,73,83,58
Plenty To See,45.5,Sand,34917108721,Boat,73," St. Dos 20, Madrid, Madrid 28024, Spain",105.5,4.00 by 1,68,78,58
Might See Something,18,Rock,,Shore,68," Beaver Tail Road, Jamestown, RI 02818",45.5,3.50 by 2,52.5,63,50
Plenty To See,28,Sand,12423655178,Boat,," Great Guana Cay, Abaco, Bahamas",95.5,,,,
Plenty To See,13,Sand,96898121195,Boat,68," Dibba Port, Dibba, Musandam 800, Oman",28,4.67 by 3,78,83,68
Might See Something,7.5,Clay/Muck,,Shore,," Stonelick Twp, OH",23,,,78,
Plenty To See,45.5,Sand,,Boat,73," manzanillo, Colima, Mexico",150,,83,85,63
Plenty To See,38,Sand,,Boat,73," manzanillo, Colima, Mexico",75.5,4.00 by 1,83,85,68
Plenty To See,38,Sand,,Boat,73," manzanillo, Colima, Mexico",135.5,4.00 by 1,83,85,63
Plenty To See,75.5,Sand,,Shore,," Com, East Timor",85.5,4.00 by 1,83,85,78
Plenty To See,125.5,Sand,,Shore,, East Timor,55.5,3.00 by 1,,85,
Plenty To See,,Sand,,Shore,," Tioman Island, Malaysia",45.5,3.00 by 2,,85,
,75.5,Sand,,,," Kota Kinabalu, Malaysia",95.5,3.50 by 2,,85,
Plenty To See,75.5,Sand,,Shore,," Com, East Timor",,,,85,
Plenty To See,65.5,,,Boat,," Banda Aceh, Nanggroe Aceh Darussalam, Indonesia",55.5,4.00 by 1,,83,
Plenty To See,55.5,Sand,,Boat,," Mataram/Lombok, Bali, Indonesia",85.5,3.75 by 4,,85,
Plenty To See,85.5,Sand,,Shore,," Dili, East Timor",85.5,4.00 by 1,,85,
Plenty To See,,,,,," Dili, East Timor",,,,,
Might See Something,55.5,Rock,,Shore,," Illinois River, Selma, OR",38,3.00 by 1,,78,
Plenty To See,75.5,Sand,,Shore,," George Town, Grand Cayman, Cayman Islands",28,4.00 by 3,,,
Plenty To See,45.5,,,Boat,," Islamorada, FL 33036",105.5,4.40 by 10,,,
Plenty To See,55.5,Sand,,Boat,," Cairns, Queensland, Australia",28,4.75 by 4,83,,
Plenty To See,,,,Boat,," Islamorada, FL",,4.50 by 4,,,
Plenty To See,65.5,Sand,,Boat,," Islamorada, FL",28,4.64 by 11,,,68
Plenty To See,95.5,Sand,,Boat,," cozumel, Quintana Roo, Mexico",95.5,4.20 by 10,,83,
Plenty To See,45.5,Sand,,Shore,," cozumel, Quintana Roo, Mexico",23,4.00 by 1,,83,
Plenty To See,13,Sand,,Shore,,,23,,,,
Plenty To See,18,Clay/Muck,,Boat,," cleaveland, OH",85.5,4.00 by 2,,,
Plenty To See,33,Sand,,Shore,83," Guam, United States Minor Outlying Islands",125.5,3.67 by 3,83,85,78
Big Animals,95.5,Sand,,Shore,73, Egypt,150,,73,83,68
Might See Something,28,Sand,,Shore,52.5," Potlatch, WA",150,3.00 by 1,58,63,52.5
Plenty To See,18,Clay/Muck,3013874111,,," 898 State Park Rd, Swanton, MD",75.5,4.00 by 3,,68,50
Might See Something,,,,,," Newcastle Island, Nanaimo, BC, Canada",85.5,4.00 by 2,,,50
Might See Something,7.5,Clay/Muck,,Shore,58," Athelstane, WI 54104",23,3.00 by 1,52.5,68,50
Might See Something,7.5,Clay/Muck,,Shore,58," Athelstane, WI 54104",28,2.00 by 1,52.5,68,50
Plenty To See,95.5,Sand,3.02825E+11,Boat,68," Almyrida, Chania, Crete 73008, Greece",45.5,4.33 by 3,68,73,63
Plenty To See,23,Sand,5628097021,Boat,58, CA,85.5,3.40 by 5,58,63,52.5
Plenty To See,150,Sand,,Boat,," Rangiroa, French Polynesia",150,4.80 by 5,,,
Plenty To See,,,,Boat,, French Polynesia,,4.00 by 1,,,
Plenty To See,18,Sand,,Shore,," Phuket, Thailand",38,4.00 by 2,,,
Big Animals,7.5,Sand,,Boat,52.5," Tacoma, WA",38,3.00 by 1,52.5,58,50
Might See Something,28,Sand,,Boat,58," Chubut, Argentina",,,52.5,63,50
Might See Something,23,Sand,,Boat,73," Isabel II, Vieques 00765, Puerto Rico",28,3.00 by 1,73,78,73
Plenty To See,7.5,Rock,,Shore,63, rancho palos verdes,33,,58,63,52.5
Might See Something,,Sand,,Shore,," Ninth Avenue And Pacific Coast High, Laguna Beach, CA 92652",,4.00 by 2,,,
Plenty To See,7.5,Rock,,Shore,63," palos verdes estates, CA",55.5,4.00 by 1,58,63,52.5
Big Animals,150,No Bottom,,Boat,, Portugal,150,3.00 by 1,,,
Might See Something,28,No Bottom,,Boat,, Spain,150,4.00 by 2,,,58
Might See Something,55.5,Rock,,Shore,," Biscoitos, Terceira Azores, Portugal",38,4.00 by 1,,73,
